File,Theil-Sen Slope,Theil-Sen Intercept
en_book3.txt.tokens,-0.006759426051603035,1.3574784303003073
en_macbeth.txt.tokens,-0.00823373716227871,1.3745839950696999
en_quixote.txt.tokens,-0.010950583171705768,0.8839434103965867
es_book1.txt.tokens,-0.005431696784284006,0.8965760151499826
es_book2.txt.tokens,-0.014014189759726143,1.2722168600789976
fi_book1.txt.tokens,-0.0051279447400803145,1.722086956417976
fi_book2.txt.tokens,-0.0023229864862500714,1.5246379618903358
ru_book1.txt.tokens,-0.011167640103177182,1.7205851880737852
ru_book2.txt.tokens,-0.0017124620935356411,1.7650302798426867
ru_book3.txt.tokens,-0.0032124730318667406,1.7968398416665747
ru_book4.txt.tokens,-0.03691299423361491,1.126471939595786
ru_book5.txt.tokens,-0.004978361893956817,1.7988136141876876
zh_book1.txt.tokens,-0.005180022390420837,1.39197490660542
zh_book2.txt.tokens,-0.004751265924118262,1.5322067405599678
