File,Theil-Sen Slope,Theil-Sen Intercept
en_book3.txt.tokens,-0.04304775777879313,1.398361874872233
en_macbeth.txt.tokens,-0.0439626422560434,1.4159962586188781
en_quixote.txt.tokens,-0.10659302745420883,1.0203597835096219
es_book1.txt.tokens,-0.13086324782051162,1.04808755406018
es_book2.txt.tokens,-0.04722505006376994,1.3058538186114754
fi_book1.txt.tokens,nan,nan
fi_book2.txt.tokens,-0.07025737499414163,1.5817398533463654
ru_book1.txt.tokens,nan,nan
ru_book2.txt.tokens,-0.008907871431197237,1.7742620091466372
ru_book3.txt.tokens,nan,nan
ru_book4.txt.tokens,-0.023659394740511784,1.097122227392771
ru_book5.txt.tokens,nan,nan
zh_book1.txt.tokens,-0.04814870634884646,1.448240587004709
zh_book2.txt.tokens,-0.039132937888477146,1.5759717888369336
